YEAR/MONTH;H_VIAXEIROS;H_NOITES;H_ESTAD_MEDIA;TR_VIAXEIROS;TR_NOITES;TR_ESTAD_MEDIA;DE_ONDE;PROVINCIA
2023/Febreiro;21011;36876;..;827;1352;..;Residentes en Espa–a;LUGO
2023/Marzo;28483;49813;..;1058;1800;..;Residentes en Espa–a;LUGO
2023/Abril;47340;80306;..;3157;6127;..;Residentes en Espa–a;LUGO
2023/Maio;41312;68633;..;2284;3259;..;Residentes en Espa–a;LUGO
2023/Xu–o;48810;81279;..;3033;5508;..;Residentes en Espa–a;LUGO
2023/Xullo;64532;120390;..;4786;11125;..;Residentes en Espa–a;LUGO
2023/Agosto;81260;170659;..;6649;19721;..;Residentes en Espa–a;LUGO
2023/Setembro;56148;94156;..;4276;7995;..;Residentes en Espa–a;LUGO
2023/Outubro;45496;82512;..;3137;6404;..;Residentes en Espa–a;LUGO
2023/Novembro;24845;47489;..;1784;2857;..;Residentes en Espa–a;LUGO
2023/Decembro;21303;41140;..;1741;3779;..;Residentes en Espa–a;LUGO
2017/Xaneiro;1280;2679;..;156;218;..;Residentes no estranxeiro;LUGO
2017/Febreiro;1510;2645;..;126;187;..;Residentes no estranxeiro;LUGO
2017/Marzo;2584;3688;..;226;372;..;Residentes no estranxeiro;LUGO
2017/Abril;18022;19850;..;1070;1605;..;Residentes no estranxeiro;LUGO
2017/Maio;33087;35981;..;2743;3625;..;Residentes no estranxeiro;LUGO
2017/Xu–o;28728;32762;..;2274;2897;..;Residentes no estranxeiro;LUGO
2017/Xullo;27975;33189;..;1776;3520;..;Residentes no estranxeiro;LUGO
2017/Agosto;26558;31558;..;2330;3612;..;Residentes no estranxeiro;LUGO
2017/Setembro;36622;42364;..;2891;4041;..;Residentes no estranxeiro;LUGO
2017/Outubro;22378;24508;..;1553;2273;..;Residentes no estranxeiro;LUGO
2017/Novembro;3095;4818;..;237;499;..;Residentes no estranxeiro;LUGO
2017/Decembro;1784;3383;..;93;298;..;Residentes no estranxeiro;LUGO
2018/Xaneiro;1463;2775;..;102;187;..;Residentes no estranxeiro;LUGO
2018/Febreiro;1387;2812;..;148;303;..;Residentes no estranxeiro;LUGO
2018/Marzo;6294;9612;..;577;840;..;Residentes no estranxeiro;LUGO
2018/Abril;9247;12393;..;1155;1525;..;Residentes no estranxeiro;LUGO
2018/Maio;24753;28688;..;3143;3782;..;Residentes no estranxeiro;LUGO
2018/Xu–o;19708;23795;..;2415;2852;..;Residentes no estranxeiro;LUGO
2018/Xullo;14375;19111;..;1974;3245;..;Residentes no estranxeiro;LUGO
2018/Agosto;16056;22497;..;2347;3610;..;Residentes no estranxeiro;LUGO
2018/Setembro;24828;29797;..;3329;4078;..;Residentes no estranxeiro;LUGO
2018/Outubro;15098;19479;..;1841;2432;..;Residentes no estranxeiro;LUGO
2018/Novembro;2345;4932;..;410;714;..;Residentes no estranxeiro;LUGO
2018/Decembro;2067;3974;..;277;472;..;Residentes no estranxeiro;LUGO
2019/Xaneiro;1441;4182;..;119;122;..;Residentes no estranxeiro;LUGO
2019/Febreiro;1723;4303;..;65;107;..;Residentes no estranxeiro;LUGO
2019/Marzo;3544;7762;..;265;336;..;Residentes no estranxeiro;LUGO
2019/Abril;16125;22120;..;2247;2641;..;Residentes no estranxeiro;LUGO
2019/Maio;26670;31990;..;4169;4694;..;Residentes no estranxeiro;LUGO
2019/Xu–o;24886;31097;..;3722;4430;..;Residentes no estranxeiro;LUGO
2019/Xullo;18434;24941;..;2371;3450;..;Residentes no estranxeiro;LUGO
2019/Agosto;19447;26410;..;2844;4703;..;Residentes no estranxeiro;LUGO
2019/Setembro;31119;37620;..;5254;6182;..;Residentes no estranxeiro;LUGO
2019/Outubro;22334;27012;..;2971;3542;..;Residentes no estranxeiro;LUGO
2019/Novembro;2209;4851;..;374;584;..;Residentes no estranxeiro;LUGO
2019/Decembro;1746;3633;..;178;429;..;Residentes no estranxeiro;LUGO
2020/Xaneiro;1516;3054;..;29;60;..;Residentes no estranxeiro;LUGO
2020/Febreiro;1998;4159;..;35;82;..;Residentes no estranxeiro;LUGO
2020/Marzo;1324;2354;..;35;50;..;Residentes no estranxeiro;LUGO
2020/Abril;0;0;..;..;..;..;Residentes no estranxeiro;LUGO
2020/Maio;80;173;..;..;..;..;Residentes no estranxeiro;LUGO
