"Destinos","Indicadores","Orixe dos viaxeiros","CodTempo","Tempo","DatoN","DatoT"
"A Coruña e As Mariñas","Indicador Poboación (2)","Fóra de Galicia",2020,"2020",1.00,"1,00"
"A Coruña e As Mariñas","Indicador Poboación (2)","Fóra de Galicia",2021,"2021",1.68,"1,68"
"A Coruña e As Mariñas","Indicador Poboación (2)","Fóra de Galicia",2022,"2022",2.31,"2,31"
"A Coruña e As Mariñas","Indicador Poboación (2)","Fóra de Galicia",2023,"2023",2.41,"2,41"
"A Coruña e As Mariñas","Indicador Estacional (1)","Todas",2011,"2011",31.5,"31,5"
"A Coruña e As Mariñas","Indicador Estacional (1)","Todas",2017,"2017",28.8,"28,8"
"A Coruña e As Mariñas","Indicador Estacional (1)","Todas",2018,"2018",30.0,"30,0"
"A Coruña e As Mariñas","Indicador Estacional (1)","Todas",2019,"2019",29.6,"29,6"
"A Coruña e As Mariñas","Indicador Estacional (1)","Todas",2020,"2020",33.3,"33,3"
"A Coruña e As Mariñas","Indicador Estacional (1)","Todas",2021,"2021",35.0,"35,0"
"A Coruña e As Mariñas","Indicador Estacional (1)","Todas",2022,"2022",30.9,"30,9"
"A Coruña e As Mariñas","Indicador Estacional (1)","Todas",2023,"2023",26.1,"26,1"
"A Coruña e As Mariñas","Indicador Estacional (1)","Fóra de Galicia",2011,"2011",32.2,"32,2"
"A Coruña e As Mariñas","Indicador Estacional (1)","Fóra de Galicia",2017,"2017",33.5,"33,5"
"A Coruña e As Mariñas","Indicador Estacional (1)","Fóra de Galicia",2018,"2018",37.2,"37,2"
"A Coruña e As Mariñas","Indicador Estacional (1)","Fóra de Galicia",2019,"2019",31.1,"31,1"
"A Coruña e As Mariñas","Indicador Estacional (1)","Fóra de Galicia",2020,"2020",36.4,"36,4"
"A Coruña e As Mariñas","Indicador Estacional (1)","Fóra de Galicia",2021,"2021",40.1,"40,1"
"A Coruña e As Mariñas","Indicador Estacional (1)","Fóra de Galicia",2022,"2022",32.4,"32,4"
"A Coruña e As Mariñas","Indicador Estacional (1)","Fóra de Galicia",2023,"2023",30.1,"30,1"
"A Coruña e As Mariñas","Indicador Estacional (2)","Todas",2011,"2011",,"-"
"A Coruña e As Mariñas","Indicador Estacional (2)","Todas",2017,"2017",-3.3,"-3,3"
"A Coruña e As Mariñas","Indicador Estacional (2)","Todas",2018,"2018",3.6,"3,6"
"A Coruña e As Mariñas","Indicador Estacional (2)","Todas",2019,"2019",-0.6,"-0,6"
"A Coruña e As Mariñas","Indicador Estacional (2)","Todas",2020,"2020",0.0,"0,0"
"A Coruña e As Mariñas","Indicador Estacional (2)","Todas",2021,"2021",1.7,"1,7"
"A Coruña e As Mariñas","Indicador Estacional (2)","Todas",2022,"2022",-4.1,"-4,1"
"A Coruña e As Mariñas","Indicador Estacional (2)","Todas",2023,"2023",-8.9,"-8,9"
"A Coruña e As Mariñas","Indicador Estacional (2)","Fóra de Galicia",2011,"2011",,"-"
"A Coruña e As Mariñas","Indicador Estacional (2)","Fóra de Galicia",2017,"2017",0.9,"0,9"
"A Coruña e As Mariñas","Indicador Estacional (2)","Fóra de Galicia",2018,"2018",4.7,"4,7"
"A Coruña e As Mariñas","Indicador Estacional (2)","Fóra de Galicia",2019,"2019",27.3,"27,3"
"A Coruña e As Mariñas","Indicador Estacional (2)","Fóra de Galicia",2020,"2020",-1.9,"-1,9"
"A Coruña e As Mariñas","Indicador Estacional (2)","Fóra de Galicia",2021,"2021",40.1,"40,1"
"A Coruña e As Mariñas","Indicador Estacional (2)","Fóra de Galicia",2022,"2022",30.7,"30,7"
"A Coruña e As Mariñas","Indicador Estacional (2)","Fóra de Galicia",2023,"2023",28.4,"28,4"
"Costa da Morte","Noites","Todas",2011,"2011",185799,"185.799"
"Costa da Morte","Noites","Todas",2017,"2017",370665,"370.665"
"Costa da Morte","Noites","Todas",2018,"2018",294957,"294.957"
"Costa da Morte","Noites","Todas",2019,"2019",321977,"321.977"
"Costa da Morte","Noites","Todas",2020,"2020",195260,"195.260"
"Costa da Morte","Noites","Todas",2021,"2021",339059,"339.059"
"Costa da Morte","Noites","Todas",2022,"2022",442524,"442.524"
"Costa da Morte","Noites","Todas",2023,"2023",473435,"473.435"
"Costa da Morte","Noites","Fóra de Galicia",2011,"2011",125692,"125.692"
"Costa da Morte","Noites","Fóra de Galicia",2017,"2017",262029,"262.029"
"Costa da Morte","Noites","Fóra de Galicia",2018,"2018",214967,"214.967"
"Costa da Morte","Noites","Fóra de Galicia",2019,"2019",228250,"228.250"
"Costa da Morte","Noites","Fóra de Galicia",2020,"2020",121646,"121.646"
"Costa da Morte","Noites","Fóra de Galicia",2021,"2021",218059,"218.059"
"Costa da Morte","Noites","Fóra de Galicia",2022,"2022",311768,"311.768"
"Costa da Morte","Noites","Fóra de Galicia",2023,"2023",343410,"343.410"
"Costa da Morte","Indicador Área","Todas",2011,"2011",148,"148"
"Costa da Morte","Indicador Área","Todas",2017,"2017",295,"295"
"Costa da Morte","Indicador Área","Todas",2018,"2018",235,"235"
"Costa da Morte","Indicador Área","Todas",2019,"2019",257,"257"
"Costa da Morte","Indicador Área","Todas",2020,"2020",156,"156"
"Costa da Morte","Indicador Área","Todas",2021,"2021",270,"270"
"Costa da Morte","Indicador Área","Todas",2022,"2022",353,"353"
"Costa da Morte","Indicador Área","Todas",2023,"2023",377,"377"
"Costa da Morte","Indicador Área","Fóra de Galicia",2011,"2011",100,"100"
"Costa da Morte","Indicador Área","Fóra de Galicia",2017,"2017",209,"209"
"Costa da Morte","Indicador Área","Fóra de Galicia",2018,"2018",171,"171"
"Costa da Morte","Indicador Área","Fóra de Galicia",2019,"2019",182,"182"
"Costa da Morte","Indicador Área","Fóra de Galicia",2020,"2020",97,"97"
"Costa da Morte","Indicador Área","Fóra de Galicia",2021,"2021",174,"174"
"Costa da Morte","Indicador Área","Fóra de Galicia",2022,"2022",248,"248"
"Costa da Morte","Indicador Área","Fóra de Galicia",2023,"2023",274,"274"
"Costa da Morte","Indicador Costa","Todas",2011,"2011",408,"408"
"Costa da Morte","Indicador Costa","Todas",2017,"2017",814,"814"
"Costa da Morte","Indicador Costa","Todas",2018,"2018",648,"648"
"Costa da Morte","Indicador Costa","Todas",2019,"2019",707,"707"
"Costa da Morte","Indicador Costa","Todas",2020,"2020",429,"429"
"Costa da Morte","Indicador Costa","Todas",2021,"2021",745,"745"
"Costa da Morte","Indicador Costa","Todas",2022,"2022",972,"972"
"Costa da Morte","Indicador Costa","Todas",2023,"2023",1040,"1.040"
"Costa da Morte","Indicador Costa","Fóra de Galicia",2011,"2011",276,"276"
"Costa da Morte","Indicador Costa","Fóra de Galicia",2017,"2017",575,"575"
"Costa da Morte","Indicador Costa","Fóra de Galicia",2018,"2018",472,"472"
"Costa da Morte","Indicador Costa","Fóra de Galicia",2019,"2019",501,"501"
"Costa da Morte","Indicador Costa","Fóra de Galicia",2020,"2020",267,"267"
