"Destinos,""Indicadores"",""Orixe dos viaxeiros"",""CodTempo"",""Tempo"",""DatoN"",""DatoT"""
"Costa da Morte,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",1.04,""1,04"""
"Deza - Tabeir—s,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",0.89,""0,89"""
"Ferrolterra,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",1.20,""1,20"""
"Lugo e a Terra Ch‡,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",1.60,""1,60"""
"Manzaneda - Trevinca,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",0.52,""0,52"""
"Mari–a Lucense,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",2.68,""2,68"""
"O Ribeiro,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",1.09,""1,09"""
"R’a de Arousa,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",6.09,""6,09"""
"R’a de Muros e Noia,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",1.04,""1,04"""
"R’a de Vigo e Baixo Mi–o,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",1.49,""1,49"""
"R’a e Terras de Pontevedra,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",1.63,""1,63"""
"Ribeira Sacra,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",2.06,""2,06"""
"Terras de Ourense e Allariz,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",0.90,""0,90"""
"Terras de Santiago,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",4.22,""4,22"""
"Ver’n - Viana,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",0.74,""0,74"""
"Galicia,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",38.8,""38,8"""
"A Coru–a e As Mari–as,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",32.2,""32,2"""
"Ancares - Courel,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",51.0,""51,0"""
"Celanova - Limia,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",33.0,""33,0"""
"Costa da Morte,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",57.1,""57,1"""
