year,rgn_id,fao_rgn,taxon_scientific_name,taxon_common_name,taxon_key,tons,stock_id
1950,182,34,Cephalopoda,"Squids, cuttlefishes, octopuses",290002,0.390328761915682,Cephalopoda-34
1950,182,34,Chamelea gallina,Striped venus,690404,62.0681948818868,Chamelea_gallina-34
1950,182,34,Chelidonichthys lucerna,Tub gurnard,601366,0.00171598138638013,Chelidonichthys_lucerna-34
1950,182,34,Chondrichthyes,"Sharks, rays, chimaeras",200538,0.152703433767031,Chondrichthyes-34
1950,182,34,Conger conger,European conger,600301,114.387389970799,Conger_conger-34
1950,182,34,Coris julis,Mediterranean rainbow wrasse,600058,1.6690908361492e-4,Coris_julis-34
1950,182,34,Coryphaena hippurus,Common dolphinfish,600006,0.00977740723442348,Coryphaena_hippurus-34
1950,182,34,Decapoda,"Crabs, lobsters, shrimps",390013,0.257074796413812,Decapoda-34
1950,182,34,Dentex,Toothed seabreams,500809,2.74105140838725e-5,Dentex-34
1950,182,34,Dentex dentex,Common dentex,600439,0.161658402224071,Dentex_dentex-34
1950,182,34,Dentex gibbosus,Pink dentex,604536,0.00147024406262133,Dentex_gibbosus-34
1950,182,34,Dicentrarchus labrax,European seabass,600063,1.31331930540852,Dicentrarchus_labrax-34
1950,182,34,Dicentrarchus punctatus,Spotted seabass,600394,0.0037912011242994,Dicentrarchus_punctatus-34
1950,182,34,Dicologlossa cuneata,Wedge sole,600526,0.00828703295623204,Dicologlossa_cuneata-34
1950,182,34,Diplodus,Two-toothed seabreams,500705,0.296582931929313,Diplodus-34
1950,182,34,Diplodus puntazzo,Sharpsnout seabream,601749,9.42445414984525e-6,Diplodus_puntazzo-34
1950,182,34,Diplodus sargus sargus,White seabream,601753,0.00138198031533104,Diplodus_sargus_sargus-34
1950,182,34,Diplodus vulgaris,Common twobanded seabream,601754,0.125958237814202,Diplodus_vulgaris-34
1950,182,34,Donax,Bean clams,590128,0.569536084466369,Donax-34
1950,182,34,Elasmobranchii,"Sharks, rays, skates",200004,1.57194083020075,Elasmobranchii-34
1950,182,34,Engraulis encrasicolus,European anchovy,600066,7.84172560844424,Engraulis_encrasicolus-34
1950,182,34,Epinephelus,"Seabasses, hinds",500366,0.0683052936327913,Epinephelus-34
1950,182,34,Epinephelus marginatus,Dusky grouper,606470,4.8663877996695e-4,Epinephelus_marginatus-34
1950,182,34,Gadidae,"Cods, haddocks",400183,0.257739644850603,Gadidae-34
1950,182,34,Galeorhinus galeus,Tope shark,604642,1.68592766059291e-5,Galeorhinus_galeus-34
1950,182,34,Haemulidae,"Grunts, sweetlips, bonnetmouths",400327,0.0197165711725409,Haemulidae-34
1950,182,34,Homarus gammarus,European lobster,690125,4.16945871773098e-5,Homarus_gammarus-34
1950,182,34,Labridae,"Wrasses, gropers, tuskfishes",400362,1.9476998898758e-4,Labridae-34
1950,182,34,Lepidorhombus,Megrims,503124,5.39197924656113e-8,Lepidorhombus-34
1950,182,34,Lichia amia,Leerfish,600692,0.00121735658829743,Lichia_amia-34
1950,182,34,Lithognathus mormyrus,Sand steenbras,600706,8.8926076443934e-4,Lithognathus_mormyrus-34
1950,182,34,Liza,Mullets,504212,0.0564204244247743,Liza-34
1950,182,34,Liza aurata,Golden grey mullet,601735,2.0612512809443e-4,Liza_aurata-34
1950,182,34,Loligo,Common squids,590010,0.00517918603940507,Loligo-34
1950,182,34,Lophius,Frogfishes,500112,3.0671301948943e-4,Lophius-34
1950,182,34,Maja squinado,Spinous spider crab,690387,0.0013419661785292,Maja_squinado-34
