ANO,MES,PROVINCIA,RAMA,REXIME,AFILIACIONS
2009,Decembro,A Coruña,Industria e enerxía,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,51491
2009,Decembro,A Coruña,Industria e enerxía,Réxime de autónomos,5745
2009,Decembro,A Coruña,Non clasificados,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,2328
2009,Decembro,A Coruña,Non clasificados,Réxime de autónomos,0
2009,Decembro,A Coruña,Resto de servizos,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,208239
2009,Decembro,A Coruña,Resto de servizos,Réxime de autónomos,45306
2009,Decembro,A Coruña,Servizos de aloxamento,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,2557
2009,Decembro,A Coruña,Servizos de aloxamento,Réxime de autónomos,545
2009,Decembro,A Coruña,Servizos de comidas e bebidas,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,14533
2009,Decembro,A Coruña,Servizos de comidas e bebidas,Réxime de autónomos,10089
2009,Decembro,Lugo,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,62
2009,Decembro,Lugo,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime de autónomos,37
2009,Decembro,Lugo,"Agricultura, gandeiría e pesca",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,787
2009,Decembro,Lugo,"Agricultura, gandeiría e pesca",Réxime de autónomos,16244
2009,Decembro,Lugo,Construción,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,9648
2009,Decembro,Lugo,Construción,Réxime de autónomos,4251
2009,Decembro,Lugo,Industria e enerxía,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,12384
2009,Decembro,Lugo,Industria e enerxía,Réxime de autónomos,2031
2009,Decembro,Lugo,Non clasificados,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,714
2009,Decembro,Lugo,Non clasificados,Réxime de autónomos,0
2009,Decembro,Lugo,Resto de servizos,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,52862
2009,Decembro,Lugo,Resto de servizos,Réxime de autónomos,13626
2009,Decembro,Lugo,Servizos de aloxamento,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,895
2009,Decembro,Lugo,Servizos de aloxamento,Réxime de autónomos,204
