"year","catch","bbmsy_q2.5","bbmsy_q25","bbmsy_q50","bbmsy_q75","bbmsy_q97.5","bbmsy_sd","bbmsy_mean","species"
2020,1219.69,0.980273420108496,1.3963217946878,1.55465194140998,1.68128990074753,1.87748313692566,0.225663068232133,1.52035883825834,"Sepia officinalis"
2021,116.18,0.698916039973552,1.01206026174956,1.18585671334727,1.31770230796817,1.51451421010911,0.215283339048442,1.15712387170848,"Sepia officinalis"
2021,895.63,0.891119077640117,1.31846677942742,1.49142879489702,1.6294522471507,1.84378837751319,0.241624968247722,1.45659719651947,"Sepia officinalis"
2022,94.91,0.751079336260373,1.14625473123327,1.31378535833363,1.43233403110529,1.60620118844015,0.219230870494134,1.27278019019405,"Sepia officinalis"
2022,1062.68,0.937676086155972,1.43025831411361,1.58570436368721,1.71694085400772,1.92133423104016,0.242003134205124,1.54773928744427,"Sepia officinalis"
2013,341.83,0.655544792329575,0.930706523108196,1.06403655978853,1.17154820472762,1.30082058038754,0.170445852850483,1.04038581225102,"Eledone cirrhosa"
2013,295.74,0.57603006869705,0.81633094890158,0.929427638992982,1.02806212045141,1.20977227721442,0.159824204021503,0.918218523990659,"Eledone cirrhosa"
2014,185.98,0.524793716590629,0.744496415420216,0.848811099676908,0.949411394142179,1.14754440256862,0.157042746115363,0.845954977607746,"Eledone cirrhosa"
2014,288.31,0.567721117375474,0.808715234489337,0.922289081836036,1.02956066510468,1.28621611922609,0.176542558153499,0.921391156604927,"Eledone cirrhosa"
2015,261.17,0.51509193351105,0.737642761942866,0.843053072512308,0.959799518755127,1.26527100742374,0.182240511073882,0.855304983753664,"Eledone cirrhosa"
2015,316.79,0.475431895534587,0.683230922498794,0.790741756036761,0.931970039868146,1.30217357768665,0.203902112341125,0.820473373629558,"Eledone cirrhosa"
2016,119.34,0.366976931955048,0.535945347926561,0.654249988200791,0.825268108206416,1.23913149304419,0.226089847145039,0.700148106530342,"Eledone cirrhosa"
2016,290.8,0.420641271452483,0.617528048330426,0.760740634481781,1.00664345719407,1.51449506164792,0.2908186406196,0.833670069345484,"Eledone cirrhosa"
2017,94.51,0.305949854759464,0.490414011652923,0.658920401245637,0.944114943028628,1.41686634621234,0.311137130016546,0.734884147461034,"Eledone cirrhosa"
2017,209.09,0.361207091985752,0.57570153856443,0.795022518746887,1.19177346614263,1.69935966887593,0.389973080731653,0.895716435783071,"Eledone cirrhosa"
2018,104.23,0.298703471158259,0.54304820436939,0.804161276889217,1.24555860486992,1.64013055961334,0.406902193601072,0.889791015919563,"Eledone cirrhosa"
2018,128.66,0.337236023496731,0.621273486995155,0.948439156798387,1.46079104539758,1.80848511382625,0.460219411350615,1.0266229356094,"Eledone cirrhosa"
2019,72.94,0.354661926588765,0.682911411120008,1.07498863039739,1.57067176750501,1.82957615412685,0.468952322491664,1.10762726310197,"Eledone cirrhosa"
2019,183.85,0.448340855409541,0.81229670791648,1.27604365032365,1.71871634439277,1.93226140919744,0.478662654304473,1.25387729521003,"Eledone cirrhosa"
2020,50.79,0.440072798860951,0.836678915374049,1.31050937766531,1.58848180377099,1.77076685962333,0.41842503836935,1.21335042182754,"Eledone cirrhosa"
2020,206.35,0.57097679749886,1.01090931414802,1.50682144766408,1.78039957949521,1.94938126009184,0.433976998629602,1.39104220447531,"Eledone cirrhosa"
2021,46.53,0.560582933872454,1.02321219682322,1.42639794872767,1.57473337816034,1.74422258037927,0.350342594859397,1.29419732956733,"Eledone cirrhosa"
2021,205.44,0.712010258050692,1.19763954765264,1.59632962528192,1.78025143637417,1.95039124327865,0.366366601058864,1.47827940543912,"Eledone cirrhosa"
2022,139.82,0.71570007298179,1.19736115785937,1.46066835380006,1.57190608432175,1.72534108354549,0.279129272893006,1.36635661850922,"Eledone cirrhosa"
2022,256.91,0.766854160403335,1.27056040499963,1.47910833475015,1.58662566875739,1.74581024647983,0.25816294650811,1.40296881485646,"Eledone cirrhosa"
2013,10.7,0.914733874453622,0.980546433706318,1.02352691268134,1.09532766396151,1.64441329019867,0.174094532576056,1.07959213528756,"Ensis ensis"
2013,356.93,1.15875574743329,1.34951980474397,1.46785928207487,1.59918483612739,1.8963458561381,0.186016198513239,1.48311825370901,"Ensis ensis"
2014,16.59,0.996138898207539,1.17160729534537,1.27947961153591,1.40414326194424,1.62363673200066,0.164097623402046,1.29069493699925,"Ensis ensis"
2014,409.25,1.2532830720432,1.50841472915483,1.65409175488954,1.78872072030906,1.96192285966711,0.190103468756796,1.64176628886514,"Ensis ensis"
2015,13.28,0.987694711850535,1.15538284428338,1.27963315867993,1.41681385988952,1.6075675705226,0.169812212725618,1.28679636475885,"Ensis ensis"
2015,439.79,1.24998143571843,1.50266448649895,1.6583695660093,1.79922717614554,1.96250812797573,0.194349105114673,1.64395040033652,"Ensis ensis"
2016,15.33,0.937437234731959,1.09652667203345,1.23870895216925,1.38894609075698,1.57559110478422,0.180720033640851,1.24450773286899,"Ensis ensis"
2016,523.82,1.20365655256312,1.45082541133451,1.62653495526038,1.77426569508019,1.95239738915684,0.206817950898483,1.60919733272254,"Ensis ensis"
2017,13.26,0.773414745856078,0.924097476413569,1.10548202010581,1.28086671892231,1.47619416654508,0.207692459050364,1.10734357289884,"Ensis ensis"
2017,540.46,1.04483820008265,1.2907672808528,1.50885753981242,1.69326964399762,1.91589240278558,0.246878792844356,1.49272392378367,"Ensis ensis"
2018,6.83,0.917965635483915,0.985841458155993,1.03353434659366,1.13347910387666,1.68195633081891,0.191631325400639,1.10259267257823,"Ensis magnus"
2018,528.83,1.17461689871848,1.37100806605807,1.49248921912082,1.63217070016938,1.9186748459947,0.190940577747046,1.5085903324249,"Ensis magnus"
2019,4.13,0.798399778833363,0.956571921688785,1.0741537583243,1.21675339456705,1.46026545586893,0.178530280525692,1.09276886827299,"Ensis magnus"
