"Column1","Area","Units","Country","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","Latin species name","English","Spanish","French"
"BSF","27.9.a","TLW","ES","0.07","0","0.03","0","0.02","0.02","0","0","0","0","33.49","0","0.5","0","0","0.01","0","Aphanopus carbo","Black scabbardfish","Sable negro","Sabre noir"
"BSH","27.8.c","TLW","ES","437.36","415.66","518.71","519.08","579.25","1819.53","746.57","599.1","735.45","715.85","507.67","784.18","451.3","334.4","165","171.9","182.3","Prionace glauca","Blue shark","Tiburón azul","Peau bleue"
"BSH","27.9.a","TLW","ES","50.18","96.3","149.84","81.61","109.98","990.72","278.47","406.88","434.29","265.8","201.49","230.19","167.5","164.3","474","72.6","267.4","Prionace glauca","Blue shark","Tiburón azul","Peau bleue"
"BSS","27.8.c","TLW","ES","214.78","163.05","238.64","193.09","187.46","190.35","212.7","241.31","241.7","280.54","212.73","228.42","196.4","126","141","114.2","151.4","Dicentrarchus labrax","European seabass","Lubina","Bar européen"
"BSS","27.9.a","TLW","ES","241.45","195.92","225.39","201.71","186.32","177.13","164.69","139.53","123.64","214.53","103.74","84.9","90","85.9","111","228","116.6","Dicentrarchus labrax","European seabass","Lubina","Bar européen"
"BSX","27.8.c","TLW","ES","0.11","0.78","1.34","4.68","2.8","4.57","2.66","1.42","9.89","6.99","2.4","23.83","56.8","80.8","33","2.4","11.7","Serranidae","Groupers, seabasses nei","Meros, chernas, nep","Serranidés nca"
"BSX","27.9.a","TLW","ES","0.15","0.67","2.28","1.82","2.28","0.73","0.74","0.5","0.38","0.2","3.33","10.29","11.6","12.5","8","11.6","47.3","Serranidae","Groupers, seabasses nei","Meros, chernas, nep","Serranidés nca"
"BTH","27.9.a","TLW","ES","0","0","0","0","0","0","0","0","0","0","0","0","0","60.2","17","15.3","0.3","Alopias superciliosus","Bigeye thresher","Zorro ojón","Renard à gros yeux"
"BUM","27.8.c","TLW","ES","0.93","6.08","0.37","0.06","0.01","0","7.15","123.92","37.2","18.19","12.81","1.98","0.01","0.5","0","0","0","Makaira nigricans","Blue marlin","Aguja azul","Makaire bleu"
"BUM","27.9.a","TLW","ES","0","0","0","0.55","0.3","0","5.75","3.14","1.82","0.05","2.54","9.47","0.8","0","0","0.01","0","Makaira nigricans","Blue marlin","Aguja azul","Makaire bleu"
"BUX","27.8.c","TLW","ES","0.02","0.24","0.16","0.99","0.21","0.21","0.27","0.01","0.25","0.61","45.56","5.92","0","0.01","0","0","0","Stromateidae","Butterfishes, pomfrets nei","Pámpanos, palometónes nep","Stromatés, ailerons nca"
"BUX","27.9.a","TLW","ES","0.01","0.35","0.1","0.51","8.34","5.13","28.67","15.16","1.45","3.13","0.04","181.64","10","0","0.01","0.1","0.1","Stromateidae","Butterfishes, pomfrets nei","Pámpanos, palometónes nep","Stromatés, ailerons nca"
"BXD","27.8.c","TLW","ES","10.69","12.5","11.36","16.94","7.88","8.51","18.84","3.66","2.14","5.54","3","74.33","28.4","18.1","10","7.4","10.3","Beryx decadactylus","Alfonsino","Alfonsino palometón","Béryx commun"
"BXD","27.9.a","TLW","ES","2.4","4.05","3.56","5.41","5.48","4.04","4.97","0.38","1.58","2.29","0.41","9.45","12.4","29.2","25","102.7","78.1","Beryx decadactylus","Alfonsino","Alfonsino palometón","Béryx commun"
"BYS","27.8.c","TLW","ES","1.08","1.73","0.89","4.85","1.55","1.95","3.39","1.93","2.42","3.81","12.43","81.51","23.5","2.3","1","2.7","6.3","Beryx splendens","Splendid alfonsino","Alfonsino besugo","Béryx long"
"BYS","27.9.a","TLW","ES","0.78","0.52","0.51","0.94","1.74","0.22","0.14","0","0","0.93","6.18","19.56","22.7","1.7","2","2.5","3.4","Beryx splendens","Splendid alfonsino","Alfonsino besugo","Béryx long"
