"year","Galician_name","total_kg","total_euros"
2011,"Nécora",113804.66,1794741.9
2011,"Ollomol",160947.58,1861231.75
2011,"Ortiguilla de mar",1826.5,13653
2011,"Ostra plana",14147.43,71510.27
2011,"Ostra rizada",97135.2,96964.91
2011,"Ourizo",659195.35,1875572.55
2011,"Ovas de Maruca",1014.5,4645.84
2011,"Ovas de pescada",105370.43,360609.830000001
2011,"Pampos",1783.5,11204.32
2011,"Pancho bicudo",529816.86,2054277.56999999
2011,"Patulate",2791.2,3388.15
2011,"Peixe espada",626680.5,4402259.26
2011,"Peixe pau",94639.15,259024.71
2011,"Peixe porco",4356.68,10215.49
2011,"Peixe sabre",27891.85,64685.98
2011,"Peixe sabre negro",830,1605.1
2011,"Peixe sabre prateado",36332.5,49153.42
2011,"Peixe sapo",4984861.3,26536577.55
2011,"Peixes mariños nep",707194.97,849497.580000001
2011,"Percebe",368369.35,9448702.27
2011,"Pescada",18811315.66,54033473.69
2011,"Pescada do Senegal",8292,10328.92
2011,"Piardas",47083.07,71088.5
2011,"Polbo",3404671.98999999,20433287.72
2011,"Polbo cabezón",1274290.13,1387935.78
2011,"Pota común",3107.5,3068.5
2011,"Pota pequena",3710332.65,8175971.39000001
2011,"Pota voadora",2014719.29,3269338.05
2011,"Prago",36149.65,376876.640000001
2011,"Puntilla pequena",74351.15,431481.88
2011,"Quenlla",2191684.25,3779939.65
2011,"Rabioso",12250,9800
2011,"Raia cravuda",940,1236.51
2011,"Raia de pintas",4396,8473.66
2011,"Raia santiaguesa",470959,1157190.98
2011,"Raias",1228788.98,2507644.25999999
2011,"Rapantes",7145721.8,30949593.69
2011,"Rapapelos de Kessler",10292,45871.77
