"year","Galician_name","total_kg","total_euros","Nombre comercial (1)","Nombre científico","Andalucía","Asturias","Baleares","Canarias","Cantabria","Cataluña","Valencia","Murcia","País Vasco","FAO"
2022,"merlán",869.25,1484.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"mero",22435.55,612668.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"mero dourado",143.2,544.76,"Falso abade","Epinephelus costae",NA,NA,"Anfos llis",NA,NA,"Mero ratllat",NA,NA,NA,"EPK"
2022,"mero xigante",138.2,1242.636,"Cherne dentón","Epinephelus caninus",NA,NA,"Xerna","Cherne moruno",NA,"Mero déntol",NA,NA,NA,"EFJ"
2022,"miñoca de area",780.56,19519.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"miñoca de tubo",1592.585,40979.744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"morea",125.25,103.61,"Morena","Muraena helena",NA,NA,NA,"Morena pintada",NA,NA,NA,NA,NA,"MMH"
2022,"muxo beizos finos",4659.8,9109.09,"Morragute","Liza ramada",NA,NA,"Cap pla",NA,"Mule o muble","Capplà/llissa de taca negra",NA,NA,NA,"MGC"
2022,"muxo cabezudo",27187.15,44995.12,"Mugil","Mugil cephalus",NA,"Muil","Mujol o llissa taverner","Cabesote/lebrancho",NA,"Llissa llobarrera",NA,NA,"Muble/corcon","MUF"
2022,"muxo dourado",636.15,814.068,"Galupe o lisa","Liza aurata",NA,NA,"Llisa galtaroja","Lisa amarilla/tabaga",NA,"Llissa galta-roig",NA,"Lisa",NA,"MGA"
2022,"muxo negro",1318.4,1328.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"muxo saltón gris",9335.55,13922.8,"Galua","Liza saliens",NA,NA,"Galup",NA,NA,"Llissa fusany",NA,NA,NA,"LZS"
2022,"muxos",2.8,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"navalla",542059.43,7173765.22199999,"Navaja","Ensis magnus (=arcuatus)",NA,NA,"Navalla",NA,NA,"Navalla corba",NA,NA,NA,"EQK"
2022,"nécora",106126.45,2004236.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"obispo",2027.4,4628.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"olayo atlántico",23026.3,4677.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"ollomol",57569.29,1488471.172,"Besugo","Pagellus bogaraveo","Besugo de la pinta o voraz","Pancho/pancheta","Bogaravell o goraç","Voraz/goráz","Pancho","Besuc de la piga",NA,NA,"Bixigu","SBR"
2022,"ortiguilla de mar",19930,257745.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"ostra",92848.545,557750.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"ostra rizada",253528.49,269500.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"ourizo",655824.8,7481715.774,"Erizo de mar","Paracentrotus lividus","Erizo","Oricio/oriciu","Llagosta verda","Erizo común o erizo cachero",NA,"Garota",NA,NA,NA,"URM"
2022,"outras",19890,19413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"ovas de maruca",2.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"ovas de abadexo",3,7.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"ovas de pescada",145011.72,654789.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
