"Destinos","Indicadores","Orixe dos viaxeiros","CodTempo","Tempo","DatoN","DatoN_normalized"
"A Coruña e As Mariñas","Indicador Área","Todas",2012,2012,1152,9.9724473619875e-05
"Ancares - Courel","Indicador Área","Todas",2012,2012,31,6.25362501796875e-06
"Celanova - Limia","Indicador Área","Todas",2012,2012,26,5.8367166834375e-06
"Costa da Morte","Indicador Área","Todas",2012,2012,144,1.5675753378375e-05
"Deza - Tabeirós","Indicador Área","Todas",2012,2012,68,9.3387466935e-06
"Ferrolterra","Indicador Área","Todas",2012,2012,220,2.201276006325e-05
"Lugo e a Terra Chá","Indicador Área","Todas",2012,2012,105,1.24238683690312e-05
"Manzaneda - Trevinca","Indicador Área","Todas",2012,2012,38,6.8372966863125e-06
"Mariña Lucense","Indicador Área","Todas",2012,2012,199,2.02617450582187e-05
"O Ribeiro","Indicador Área","Todas",2012,2012,77,1.00891816956562e-05
"Ría de Arousa","Indicador Área","Todas",2012,2012,2447,0.000207703732263469
"Ría de Muros e Noia","Indicador Área","Todas",2012,2012,216,2.1679233395625e-05
"Ría de Vigo e Baixo Miño","Indicador Área","Todas",2012,2012,641,5.71164418307812e-05
"Ría e Terras de Pontevedra","Indicador Área","Todas",2012,2012,590,5.28639768185625e-05
"Ribeira Sacra","Indicador Área","Todas",2012,2012,77,1.00891816956562e-05
"Terras de Ourense e Allariz","Indicador Área","Todas",2012,2012,342,3.21853234258125e-05
"Terras de Santiago","Indicador Área","Todas",2012,2012,473,4.31083217905312e-05
